Obs_Nr,Observatory,Implementation,fk_IsoCode,Province,District,Locality,FarmName,RainfallSeas,Latitude,Longitude,Altitude,Biome
S03,Sonop,2001,NA,Otjozondjupa,Grootfontein,near Maroelaboom,Sonop 903,Summer,-19.073818,18.903897,1236,Woodland Savanna
S04,Toggekry,2001,NA,Otjozondjupa,Okahandja,Ovitoto,Omatako Ranch 305,Summer,-21.501438,16.729326,1519,Thornbush Savanna
S16,Wlotzkasbaken,2001,NA,Erongo,Swakopmund,Swakopmund,Wlotzkasbaken - Mile 14,Summer,-22.315003,14.45948,73,Desert/ Succulent Karoo
S17,Alpha,2001,ZA,Northern Cape,Siyanda,Askham,Alpha,Summer,-26.760917,20.614021,896,Thornbush Savanna
S33,Cape of Good Hope,2001,ZA,Western Cape,City of Cape Town,Table Mountain National Park,Olifantsbos,Winter,-34.260204,18.392285,83,Fynbos 
A08,Eksteenfontein,NULL,ZA,Northern Cape,NULL,NULL,NULL,NULL,-28.82889,17.26833,NULL,Succulent Karoo
S32,Elandsberg,2001,ZA,Western Cape,Cape Winelands,Wellington,Elandsberg,Winter,-33.41416,19.03111,95,Fynbos 
S26,Goedehoop,2001,ZA,Western Cape,West Coast,Van Rhynsdorp,Flaminkvlakte 111,Winter,-31.276713,18.591521,245,Succulent Karoo
S18,Koeroegap Vlakte,2001,ZA,Northern Cape,Namakwa,Sendelingsdrif,Koeroegap Vlakte,Winter,-28.226646,17.025668,635,Succulent Karoo
S28,Moedverloren,2001,ZA,Western Cape,West Coast,Vredendal,Moedverloren 208,Winter,-31.460932,18.439058,140,Succulent Karoo
S45,Nieuwoudtville,2007,ZA,Northern Cape,Namakwa,Nieuwoudtville,Glenlyon,Winter,-31.390019,19.128797,722,Fynbos 
S20,Numees,2001,ZA,Northern Cape,Namakwa,Sendelingsdrif,Numees,Winter,-28.293087,16.953805,362,Succulent Karoo
S24,Paulshoek,2001,ZA,Northern Cape,Namakwa,Leliefontein,Leliefontein 624,Winter,-30.38568,18.27579,1048,Succulent Karoo
S27,Ratelgat,2001,ZA,Western Cape,West Coast,Van Rhynsdorp,Luiperskop 211,Winter,-31.285881,18.600308,239,Succulent Karoo
S25,Remhoogte,2001,ZA,Northern Cape,Namakwa,Leliefontein,Remhoogte 416,Winter,-30.395364,18.275695,1027,Succulent Karoo
S31,Riverlands,2001,ZA,Western Cape,West Coast,Malmesbury,Riverlands,Winter,-33.489343,18.580119,140,Fynbos 
S29,Rocherpan,2001,ZA,Western Cape,West Coast,Piquetberg,Rocherpan,Winter,-32.600848,18.3056,35,Fynbos 
S22,Soebatsfontein,2001,ZA,Northern Cape,Namakwa,Soebatsfontein,Soebatsfontein Commonage,Winter,-30.186502,17.543373,392,Succulent Karoo
S21,Yellow Dune - Grootderm,2001,ZA,Northern Cape,Namakwa,Alexander Bay,Groot Derm,Winter,-28.61234,16.654331,193,Succulent Karoo
S52,Dongwe,2014,ZM,NULL,Lukulu,Dongwe Local Forest,NULL,Summer,-14.09577,24.0153,1066,Miombo Woodlands
S53,Kafue National Park (KNP),2014,ZM,NULL,Kaoma,Kafue National Park,NULL,Summer,-14.8983,25.43676,1210,Miombo Woodlands
S51,Luampa,2014,ZM,NULL,Luampa,Mbuyu Forest Reserve,NULL,Summer,-15.13791,24.49613,1148,Miombo Woodlands
