"Event, optional label",Event label,Location name,Station Status,Status2,Latitude,Longitude,Elevation,Date/Time Start,Date/Time End,Comment,URL
Nauru Island,NAU,Nauru,Closed,Not operational,-0.521,166.9167,7,11/1/1998,9/30/2013,"BSRN station no: 30; Surface type: rock; Topography type: flat, rural; Latest station scientist: Charles Long (chuck.long@noaa.gov). ** Station closed late 2013 **",
Newcastle,NEW,Australia,Candidate,Not operational,-32.8842,151.7289,18,,,BSRN Candidate. Station no: 52; Station scientist: Ben Duck (Benjamin.Duck@csiro.au),
Ny-Ålesund,NYA,"Ny-Ålesund, Spitsbergen",Running,Operational,78.925,11.93,11,8/1/1992,,"BSRN station no: 11; Surface type: tundra; Topography type: mountain valley, rural; Horizon: doi:10.1594/PANGAEA.669522; Station scientist: Marion.Maturilli@awi.de",http://www.awi.de/en/infrastructure/stations/awipev_arctic_research_base/
"Palaiseau, SIRTA Observatory",PAL,France,Running,Operational,48.713,2.208,156,5/1/2003,,"BSRN station no: 63; Surface type: concrete; Topography type: flat, urban; Station scientist: Martial Haeffelin (martial.haeffelin@lmd.polytechnique.fr)",
Payerne,PAY,Switzerland,Running,Operational,46.815,6.944,491,9/1/1992,,"BSRN station no: 21; Surface type: cultivated; Topography type: hilly, rural; Horizon: doi:10.1594/PANGAEA.669523; Station scientist: Laurent Vuilleumier (laurent.vuilleumier@meteoswiss.ch)",
Petrolina,PTR,Brazil,Running,Operational,-9.068,-40.319,387,12/1/2006,,"BSRN station no: 72; Surface type: concrete; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.695900; Station scientist: Enio Bueno Pereira (enio.pereira@inpe.br)",
Regina,REG,Canada,Closed,Not operational,50.205,-104.713,578,1/1/1995,12/31/2011,"BSRN station no: 5; Surface type: cultivated; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669524; ** Station closed end of 2011 **",
Rock Springs,PSU,"Pennsylvania, United States of America",Running,Operational,40.72,-77.9333,376,5/1/1998,,"BSRN station no: 36; Surface type: cultivated; Topography type: mountain valley, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)",
Rolim de Moura,RLM,Brazil,Closed,Not operational,-11.582,-61.773,252,1/1/2007,12/31/2007,"BSRN station no: 73; Surface type: concrete; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.695901; Latest station scientist: Enio Bueno Pereira (enio.pereira@inpe.br). ** Station closed 2008 **",
Sapporo,SAP,Japan,Running,Operational,43.06,141.3286,17,4/1/2010,,"BSRN station no: 4; Surface type: asphalt; Topography type: flat, urban; Horizon: doi:10.1594/PANGAEA.743878; Station scientist: Masao Omori (rrc-jma@met.kishou.go.jp)",http://hdl.handle.net/10013/epic.44630.d028
Sede Boqer,SBO,Israel,Closed,Not operational,30.8597,34.7794,500,1/1/2003,,"BSRN station no: 43; Surface type: desert rock; Topography type: hilly, rural; Station scientist: Dr. Nurit Agam (agam@bgu.ac.il). ** Station closed 2012 **",
Sioux Falls,SXF,"South Dakota, United States of America",Running,Operational,43.73,-96.62,473,6/1/2003,,"BSRN station no: 37; Surface type: grass; Topography type: hilly, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)",http://www.srrb.noaa.gov/surfrad/siouxfalls.html
Solar Village,SOV,Saudi Arabia,Closed,Not operational,24.91,46.41,650,8/1/1998,,"BSRN station no: 41; Surface type: desert, sand; Topography type: flat, rural; ** Station closed/no longer maintained **",
Sonnblick,SON,Austria,Running,Operational,47.054,12.9577,3109,1/1/2013,,"BSRN station no: 75; Surface Type: rock; Topography type: mountain top, rural; Horizon: doi:10.1594/PANGAEA.808997; Station scientist: Marc Olefs (marc.olefs@zamg.ac.at)",http://www.sonnblick.net/
South Pole,SPO,Antarctica,Running,Operational,-89.983,-24.799,2800,1/1/1992,,"BSRN station no: 26; Surface type: glacier, accumulation area; Topography type: flat, rural; Station scientist: Charles Long (chuck.long@noaa.gov)",http://www.esrl.noaa.gov/gmd/obop/spo/
Southern Great Plains,E13,"Oklahoma, United States of America",Running,Operational,36.605,-97.485,318,8/1/1997,,"BSRN station no: 27; Surface type: grass; Topography type: flat, rural; Station scientist: Charles Long (chuck.long@noaa.gov)",http://www.arm.gov/sites/sgp
Syowa,SYO,Cosmonaut Sea,Running,Operational,-69.005,39.589,18,1/1/1994,,"BSRN station no: 17; Surface type: sea ice; Topography type: hilly, rural; Horizon: doi:10.1594/PANGAEA.669525; Station scientist: Hiroyuki Ogihara (antarctic@met.kishou.go.jp)",http://www.nipr.ac.jp/english/
São Martinho da Serra,SMS,Brazil,Running,Operational,-29.4428,-53.8231,489,1/1/2006,,"BSRN station no: 70; Surface type: concrete; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.693871; Station scientist: Enio Bueno Pereira (enio.pereira@inpe.br)",
Tamanrasset,TAM,Algeria,Running,Operational,22.7903,5.5292,1385,3/1/2000,,"BSRN station no: 42; Surface type: desert, rock; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669526; Station scientist: Mohamed Mimouni (m_mimouni_dz@yahoo.fr)",
Tateno,TAT,Japan,Running,Operational,36.0581,140.1258,25,2/1/1996,,"BSRN station no: 16; Surface type: grass; Topography type: flat, urban; Horizon: doi:10.1594/PANGAEA.669527; Station scientist: Osamu Ijima (ijima@met.kishou.go.jp)",http://hdl.handle.net/10013/epic.44630.d027
Tiksi,TIK,"Siberia, Russia",Running,Operational,71.5862,128.9188,48,6/8/2010,,"BSRN station no: 48; Surface type: tundra; Topography type: flat, rural; Station scientist: Vasilii Kustov (kustov@aari.ru)",Linkhttp://www.aari.ru/main.php?lg=1
Tiruvallur,TIR,India,Candidate,Not operational,13.0923,79.9738,36,4/16/2014,,"BSRN Candidate. Station no: 59; Plain terrain, Soil: Red soil, Station scientist: Karthik Ramanathan (karthik.niwe@nic.in)",
Toravere,TOR,Estonia,Running,Operational,58.254,26.462,70,1/1/1999,,"BSRN station no: 9; Surface type: grass; Topography type: flat, rural; Horizon from 1999 to 2001-06: doi:10.1594/PANGAEA.671374; Horizon after 2001-06: doi:10.1594/PANGAEA.671373; Station scientist: Ain Kallis (kallis@aai.ee)",http://www.aai.ee/
Xianghe,XIA,China,Closed,Not operational,39.754,116.962,32,1/1/2005,,"BSRN station no: 44; Surface type: desert, rock; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669528; Station scientist: Xiangao Xia (xxa@mail.iap.ac.cn) ** Stopped being part of BSRN in 2016, station obstructed **",
